month,day,year,tempF,season,tempC
4,9,1996,38.2,Spring,3.444444444
4,10,1996,40.1,Spring,4.5
4,11,1996,50.2,Spring,10.11111111
4,12,1996,64.2,Spring,17.88888889
4,13,1996,51.9,Spring,11.05555556
4,14,1996,46.1,Spring,7.833333333
4,15,1996,45.4,Spring,7.444444444
4,16,1996,49.5,Spring,9.722222222
4,17,1996,46.4,Spring,8
4,18,1996,53.6,Spring,12
4,19,1996,57.1,Spring,13.94444444
4,20,1996,57.8,Spring,14.33333333
4,21,1996,65.4,Spring,18.55555556
4,22,1996,64.1,Spring,17.83333333
4,23,1996,64.2,Spring,17.88888889
4,24,1996,56.3,Spring,13.5
4,25,1996,61.8,Spring,16.55555556
4,26,1996,59.1,Spring,15.05555556
4,27,1996,56.9,Spring,13.83333333
4,28,1996,57.9,Spring,14.38888889
4,29,1996,57.4,Spring,14.11111111
4,30,1996,53.6,Spring,12
5,1,1996,54.7,Spring,12.61111111
5,2,1996,60.1,Spring,15.61111111
5,3,1996,55,Spring,12.77777778
5,4,1996,53.4,Spring,11.88888889
5,5,1996,54.7,Spring,12.61111111
5,6,1996,50.2,Spring,10.11111111
5,7,1996,-99,Spring,-72.77777778
5,8,1996,48.5,Spring,9.166666667
5,9,1996,51.7,Spring,10.94444444
5,10,1996,54.6,Spring,12.55555556
5,11,1996,66,Spring,18.88888889
5,12,1996,61.2,Spring,16.22222222
5,13,1996,49.6,Spring,9.777777778
5,14,1996,53.6,Spring,12
5,15,1996,58,Spring,14.44444444
5,16,1996,52.7,Spring,11.5
5,17,1996,53.5,Spring,11.94444444
5,18,1996,58.7,Spring,14.83333333
5,19,1996,57.6,Spring,14.22222222
5,20,1996,84.2,Spring,29
5,21,1996,83,Spring,28.33333333
5,22,1996,72.9,Spring,22.72222222
5,23,1996,65.9,Spring,18.83333333
5,24,1996,70.4,Spring,21.33333333
5,25,1996,63.4,Spring,17.44444444
5,26,1996,61,Spring,16.11111111
5,27,1996,59.2,Spring,15.11111111
5,28,1996,57.5,Spring,14.16666667
5,29,1996,-99,Spring,-72.77777778
5,30,1996,57.4,Spring,14.11111111
5,31,1996,58.5,Spring,14.72222222
6,1,1996,-99,Spring,-72.77777778
6,2,1996,-99,Spring,-72.77777778
6,3,1996,59.7,Spring,15.38888889
6,4,1996,63.1,Spring,17.27777778
6,5,1996,65.9,Spring,18.83333333
6,6,1996,-99,Spring,-72.77777778
6,7,1996,69.6,Spring,20.88888889
6,8,1996,74.2,Spring,23.44444444
6,9,1996,68.9,Spring,20.5
6,10,1996,71.4,Spring,21.88888889
6,11,1996,70.8,Spring,21.55555556
6,12,1996,71.9,Spring,22.16666667
6,13,1996,71.5,Spring,21.94444444
6,14,1996,76.2,Spring,24.55555556
6,15,1996,80.4,Spring,26.88888889
6,16,1996,77.6,Spring,25.33333333
6,17,1996,71.8,Spring,22.11111111
6,18,1996,70.9,Spring,21.61111111
6,19,1996,65.9,Spring,18.83333333
6,20,1996,62.4,Summer,16.88888889
6,21,1996,66,Summer,18.88888889
